Id,UserId,Name,Email,StateOrganizationId,StaffType,BeginDate,EndDate,Manual,DOEOnly,IsCFO
1,User_1,Super Admin,user1@example.com,Org_8,Teacher,2023-05-10,,False,True,False
2,User_2,Finance Team Approver,user2@example.com,Org_1,IT,2023-03-09,2023-07-14,True,True,True
3,User_3,Section Chief User,user3@example.com,Org_1,IT,2023-12-06,,True,True,False
4,User_4,Finance Team Member 1,user4@example.com,Org_1,IT,2023-03-12,2023-06-06,False,False,False
5,User_5,Finance Team Member 2,user5@example.com,Org_8,Support,2023-10-30,2023-12-05,False,True,False
6,User_6,Finance Team Member 3,user6@example.com,Org_4,Support,2023-08-16,,True,False,False
7,User_7,Controller Fund 1,user7@example.com,Org_7,Teacher,2023-09-30,2023-12-02,True,False,False
8,User_8,Controller Fund 2,user8@example.com,Org_7,IT,2023-01-25,,True,False,False
9,User_9,Controller Fund 3,user9@example.com,Org_4,Support,2023-07-03,2023-10-23,True,True,False
10,User_10,Admin User,user10@example.com,Org_2,IT,2023-03-07,,False,True,False
11,User_11,Contract Approver,contract_approver_1@test.com,Org_5,Admin,2023-07-26,2023-12-04,False,False,False
12,User_12,Entry User 1,user12@example.com,Org_10,Admin,2023-05-16,,False,True,False
13,User_13,Entry User 2,user13@example.com,Org_9,Admin,2023-05-08,,True,False,False
14,User_14,David,user14@example.com,Org_5,Admin,2023-07-26,,True,False,False
15,User_15,Tony,user15@example.com,Org_1,Admin,2023-01-17,,False,False,False
16,User_16,Garrett,user16@example.com,Org_2,Teacher,2023-12-12,,False,True,False
17,User_17,Andrea,user17@example.com,Org_7,Admin,2023-12-09,2024-02-10,True,True,False
18,User_18,Venkat,user18@example.com,Org_7,Teacher,2023-03-08,,False,True,False
19,User_19,Amrutha,user19@example.com,Org_2,Admin,2023-10-04,,True,False,False
20,User_20,Rod,user20@example.com,Org_9,IT,2023-03-15,2023-05-22,False,True,False
